"","Group.1","Genea1_post_left.wrist_015264_2014.07.09.10.34.05.AWD","dataset[, 2]","sd","sem"
"1",0,236108,236108,52214.5224115539,10658.244755952
"2",1,250564.285714286,250564.285714286,50212.9935067086,10249.6843790934
"3",2,282053.142857143,282053.142857143,79387.9485804333,16204.9971456975
"4",3,277319.571428571,277319.571428571,48413.9163218495,9882.44928652779
"5",4,293695,293695,30186.2918170925,6161.75101488566
"6",5,291779.857142857,291779.857142857,25754.6991921123,5257.15595829544
"7",6,261812.714285714,261812.714285714,18480.8573368435,3772.38920703645
"8",7,300839.428571429,300839.428571429,27548.9334570151,5623.40249396457
"9",8,265964.571428571,265964.571428571,28966.9676289916,5912.85750722894
"10",9,287294.142857143,287294.142857143,10690.4669281962,2182.18242384829
"11",10,243556.714285714,243556.714285714,70528.4781151422,14396.5653097624
"12",11,223450,223450,23104.9434537287,4716.27683312448
"13",12,266769.428571429,266769.428571429,43430.7767942548,8865.27018988607
"14",13,251646.285714286,251646.285714286,39000.2351348223,7960.88966073995
"15",14,208769.25,208769.25,69486.866234357,14183.9471749337
"16",15,231066.571428571,231066.571428571,50107.4892201992,10228.1484067914
"17",16,229567.571428571,229567.571428571,28266.3045153126,5769.83524805367
"18",17,236007.857142857,236007.857142857,32167.365561122,6566.1359995271
"19",18,222331.428571429,222331.428571429,42010.5899540308,8575.37576505571
"20",19,237322,237322,57404.8727229086,11717.7205767115
"21",20,242704.428571429,242704.428571429,31605.5869209709,6451.4634147967
"22",21,246009.571428571,246009.571428571,35970.8840863327,7342.52596735954
"23",22,219317,219317,31510.9421418444,6432.14413015684
"24",23,216224.428571429,216224.428571429,37179.8352464394,7589.30208954349
